text,category,priority
Cupboard door hinge broken in Room 437.,Civil,Medium
"Main door handle of Room 431 came off, unable to secure room.",Civil,High
Window glass shattered in Room 466 due to wind.,Civil,High
Foul smell coming from the drains near Block A.,Sanitation,High
Regulator for fan in Room 431 is not working.,Electrical,Medium
Frequent voltage fluctuation in 490 damaging laptop.,Electrical,High
Why is the stationary shop near Library closed during college hours?,Other,Low
Corridors in Old Block are full of mud and trash.,Sanitation,Medium
Found a worm in the cauliflower curry today in Old Block mess.,Mess,Urgent
"Night latch broken in Room 173, feeling unsafe.",Civil,Urgent
Washroom in Old Block is extremely dirty and unhygienic.,Sanitation,High
Lost property: Blue bag left in Office.,Other,Low
Drain blockage causing backflow in Hostel Mesh.,Sanitation,Urgent
"Cannot close the window in Room 367, latch broken.",Civil,High
Geyser in Restroom near Canteen not heating water.,Electrical,Medium
Washroom in Girls Hostel is extremely dirty and unhygienic.,Sanitation,High
"Chair backrest broken in 305, need replacement.",Civil,Medium
"Main door handle of Room 355 came off, unable to secure room.",Civil,High
Taps run dry every evening in Block B.,Sanitation,High
Corridor lights invalid/off in Girls Hostel at night.,Electrical,Urgent
Student smoking in the non-smoking Main Gate area.,Disciplinary,High
Chapatis in Old Block mess are too hard to eat.,Mess,Medium
Long queues due to slow service at New Wing counters.,Mess,Low
Cupboard door hinge broken in Room 435.,Civil,Medium
LAN port in Room 306 is broken.,IT,Medium
Power cut in Boys Hostel for over 4 hours.,Electrical,High
"My room door (302) doesn't close fully, lock is misaligned.",Civil,High
Tube light improperly flickering in Room 400.,Electrical,Medium
Cannot login to the student ERP portal from Boys Hostel.,IT,High
Someone busted the fire extinguisher in Lobby.,Disciplinary,High
Sparking observed from the socket in Room 133.,Electrical,Urgent
Water dispenser in Old Block mess is dirty.,Mess,High
LAN port in Room 414 is broken.,IT,Medium
Long queues due to slow service at Block B counters.,Mess,Low
Foul smell coming from the drains near Block B.,Sanitation,High
Physical fight broke out in the Block B mess hall.,Disciplinary,Urgent
Fungus growing on bathroom walls in Room 348.,Sanitation,High
PC in Classroom 5 not booting up.,IT,High
Physical fight broke out in the Boys Hostel mess hall.,Disciplinary,Urgent
Water coming from tap in 292 is muddy.,Sanitation,Urgent
Menu is not being followed in Block B mess.,Mess,Low
LAN port in Room 424 is broken.,IT,Medium
Drawer lock in my study table (Room 119) is stuck.,Civil,Medium
Biometric device at Old Block gate not accepting fingerprint.,IT,High
The latch on the bathroom door in 329 is broken.,Civil,High
Cleaning staff has not visited 224 for 3 days.,Sanitation,Medium
My bed leg is wobbling dangerously in Room 168.,Civil,High
LAN port in Room 432 is broken.,IT,Medium
Theft: My laptop was stolen from Room 479.,Disciplinary,Urgent
"Chair backrest broken in 194, need replacement.",Civil,Medium
My bed leg is wobbling dangerously in Room 474.,Civil,High
Street light near Block A entrance is broken.,Electrical,High
Wifi speed is too slow to open basic websites in 265.,IT,Medium
Frequent voltage fluctuation in 389 damaging laptop.,Electrical,High
Door closer in Classroom 5 is leaking oil.,Civil,Low
Too many mosquitoes in Stairs due to stagnant water.,Sanitation,High
Too many mosquitoes in Corridor due to stagnant water.,Sanitation,High
Water coming from tap in 344 is muddy.,Sanitation,Urgent
Bed plank broke while sleeping in Room 176.,Civil,High
Mess plates in Block B are greasy and not washed properly.,Mess,High
Cannot connect to 'CampusWifi' in New Wing.,IT,Medium
Cannot login to the student ERP portal from New Wing.,IT,High
Wifi signal is extremely weak in Room 233.,IT,Medium
Cleaning staff has not visited 143 for 3 days.,Sanitation,Medium
Window grill is rusted and loose in Room 315.,Civil,High
Bread served in Block A mess was expired and had fungus.,Mess,Urgent
Gym equipment in the sports complex near Girls Hostel is rusted.,Other,Medium
Dead pigeon in the Stairs balcony causing smell.,Sanitation,High
Charging point in 421 is dead.,Electrical,medium
Water coming from tap in 405 is muddy.,Sanitation,Urgent
"Found a set of keys in Parking, submitted to office.",Other,Low
Wallet stolen from my bag in Library.,Disciplinary,Urgent
"Food was extremely spicy and oily, caused stomach ache.",Mess,High
Request to add more books on AI in Office.,Other,Low
Request to add more books on AI in Lab 1.,Other,Low
MCB trips frequently in Room 431.,Electrical,High
Toilet seat broken in Common Washroom.,Sanitation,High
Corridor floor in Old Block is uneven and tripping hazard.,Civil,Medium
Wifi range does not reach the corner rooms like 285.,IT,Medium
Study table in Room 394 has a large crack.,Civil,Medium
Theft: My laptop was stolen from Room 152.,Disciplinary,Urgent
Window grill is rusted and loose in Room 462.,Civil,High
Threatening behavior by a student in Room 235.,Disciplinary,Urgent
Corridors in Girls Hostel are full of mud and trash.,Sanitation,Medium
Student smoking in the non-smoking Lobby area.,Disciplinary,High
Ceiling fan in Room 454 is not working.,Electrical,High
Rainwater entering Room 402 through the balcony door.,Civil,High
Rainwater entering Room 164 through the balcony door.,Civil,High
Roof leaking heavily in Back Gate during rain.,Civil,High
Can we have a vending machine in Girls Hostel?,Other,Low
Tables in the Old Block mess hall are sticky and dirty.,Mess,Medium
Water seepage from the ceiling in Girls Hostel corridor.,Civil,High
Threatening behavior by a student in Room 155.,Disciplinary,Urgent
Request to add more books on AI in Library.,Other,Low
Roof leaking heavily in Corridor during rain.,Civil,High
Wifi signal is extremely weak in Room 353.,IT,Medium
Wifi speed is too slow to open basic websites in 150.,IT,Medium
Rainwater entering Room 362 through the balcony door.,Civil,High
"Cannot close the window in Room 139, latch broken.",Civil,High
Jet spray not working in Girls Hostel toilet.,Sanitation,Medium
Gym equipment in the sports complex near Boys Hostel is rusted.,Other,Medium
Ethernet cable socket damaged in Lab 2.,IT,Medium
Threatening behavior by a student in Room 140.,Disciplinary,Urgent
Cats seen roaming inside the Block B mess kitchen.,Mess,Urgent
Toilet seat broken in Hostel Mesh.,Sanitation,High
Cleaning staff has not visited 153 for 3 days.,Sanitation,Medium
"Tap is leaking continuously in Room 415, wasting water.",Sanitation,Medium
Lost my ID card near Library.,Other,Low
Sink is clogged and overflowing in Restroom near Canteen.,Sanitation,High
Regulator for fan in Room 478 is not working.,Electrical,Medium
Extension board in Lab 2 caught fire briefly.,Electrical,Urgent
Printer in Library assumes offline status.,IT,Medium
"Night latch broken in Room 191, feeling unsafe.",Civil,Urgent
Cupboard door hinge broken in Room 464.,Civil,Medium
Physical fight broke out in the New Wing mess hall.,Disciplinary,Urgent
LAN port in Room 231 is broken.,IT,Medium
Menu is not being followed in Block A mess.,Mess,Low
Student smoking in the non-smoking Common Room area.,Disciplinary,High
Request to add more books on AI in Computer Centre.,Other,Low
Theft: My laptop was stolen from Room 154.,Disciplinary,Urgent
"Tap is leaking continuously in Room 360, wasting water.",Sanitation,Medium
Chapatis in Block B mess are too hard to eat.,Mess,Medium
Student smoking in the non-smoking Stairs area.,Disciplinary,High
"Plaster falling from ceiling in 339, dangerous.",Civil,Urgent
Regulator for fan in Room 337 is not working.,Electrical,Medium
Printer in Lab 2 assumes offline status.,IT,Medium
Taps run dry every evening in Girls Hostel.,Sanitation,High
Drawer lock in my study table (Room 259) is stuck.,Civil,Medium
Frequent voltage fluctuation in 433 damaging laptop.,Electrical,High
"Access point in Lobby seems dead, no signal.",IT,Medium
Hair found in the chapati at Old Block mess.,Mess,High
"Cannot close the window in Room 144, latch broken.",Civil,High
Curd served in Boys Hostel was sour and old.,Mess,High
Biometric device at Block B gate not accepting fingerprint.,IT,High
Water coming from tap in 279 is muddy.,Sanitation,Urgent
Lunch served very late today in Boys Hostel.,Mess,Medium
Notice board in Corridor fell down.,Civil,Low
MCB trips frequently in Room 158.,Electrical,High
The latch on the bathroom door in 279 is broken.,Civil,High
There are too many stray dogs near Block A chasing students.,Other,Medium
Wifi range does not reach the corner rooms like 182.,IT,Medium
Student smoking in the non-smoking Back Gate area.,Disciplinary,High
Water coming from tap in 478 is muddy.,Sanitation,Urgent
Stale smell coming from the food served tonight in Block A mess.,Mess,Urgent
"Tap is leaking continuously in Room 299, wasting water.",Sanitation,Medium
Cockroach infestation in Girls Hostel washrooms.,Sanitation,High
Frequent voltage fluctuation in 318 damaging laptop.,Electrical,High
Theft: My laptop was stolen from Room 274.,Disciplinary,Urgent
Shower head broken in Hostel Mesh.,Sanitation,Medium
Cleaning staff has not visited 365 for 3 days.,Sanitation,Medium
"Plaster falling from ceiling in 438, dangerous.",Civil,Urgent
Charging point in 131 is dead.,Electrical,medium
Mess contractor in Block A is using cheap oil.,Mess,High
Mess plates in Block A are greasy and not washed properly.,Mess,High
Parking space is always full behind New Wing.,Other,Low
Fan in Room 428 making loud noise and wobbling.,Electrical,High
Tables in the Girls Hostel mess hall are sticky and dirty.,Mess,Medium
Extension board in Lab 1 caught fire briefly.,Electrical,Urgent
No water in the Girls Hostel mess wash basin.,Mess,High
"Access point in Terrace seems dead, no signal.",IT,Medium
Lost property: Blue bag left in Computer Centre.,Other,Low
Garbage piled up near New Wing entrance.,Sanitation,Medium
"Bulb fused in Hostel Mesh, pitch dark at night.",Electrical,Urgent
Tiles broken in the bathroom of Room 124.,Civil,Medium
Drain blockage causing backflow in Ground Floor Washroom.,Sanitation,Urgent
Power cut in Block B for over 4 hours.,Electrical,High
Stale smell coming from the food served tonight in Boys Hostel mess.,Mess,Urgent
Not enough seating space in the New Wing mess.,Mess,Low
Fungus growing on bathroom walls in Room 154.,Sanitation,High
Window glass shattered in Room 119 due to wind.,Civil,High
Door closer in Lab 2 is leaking oil.,Civil,Low
Security guard was sleeping during night shift at Boys Hostel.,Disciplinary,Urgent
Dal was completely watery and tasteless in Boys Hostel mess.,Mess,Medium
Drawer lock in my study table (Room 112) is stuck.,Civil,Medium
"Switch board hanging loose in Room 460, exposed wires.",Electrical,Urgent
My bed leg is wobbling dangerously in Room 242.,Civil,High
Request to extend curfew timings for Old Block.,Other,Low
Wifi speed is too slow to open basic websites in 155.,IT,Medium
Loud music playing in Room 441 late at night disturbing others.,Disciplinary,High
Bed plank broke while sleeping in Room 289.,Civil,High
PC in Computer Centre not booting up.,IT,High
Power cut in Girls Hostel for over 4 hours.,Electrical,High
Wifi range does not reach the corner rooms like 153.,IT,Medium
Ragging incident reported near Old Block block.,Disciplinary,Urgent
Too many mosquitoes in Main Gate due to stagnant water.,Sanitation,High
Loud music playing in Room 296 late at night disturbing others.,Disciplinary,High
Door lock key is stuck inside the keyhole in Room 167.,Civil,High
Dinner was served cold again in Girls Hostel.,Mess,Medium
"Tap is leaking continuously in Room 430, wasting water.",Sanitation,Medium
Fan in Room 111 making loud noise and wobbling.,Electrical,High
Extension board in Office caught fire briefly.,Electrical,Urgent
Physical fight broke out in the Block A mess hall.,Disciplinary,Urgent
Door lock key is stuck inside the keyhole in Room 119.,Civil,High
Gym equipment in the sports complex near Block B is rusted.,Other,Medium
Projector in Lab 1 has display issues.,IT,Medium
Corridor floor in Block B is uneven and tripping hazard.,Civil,Medium
"Pipe burst in Ground Floor Washroom, water flooding the floor.",Sanitation,Urgent
No internet connectivity in Classroom 5 for lecture.,IT,High
Water cooler in Girls Hostel gave me an electric shock.,Electrical,Urgent
Washroom in Block B is extremely dirty and unhygienic.,Sanitation,High
Cannot connect to 'CampusWifi' in Block A.,IT,Medium
No internet connectivity in Computer Centre for lecture.,IT,High
Wifi range does not reach the corner rooms like 385.,IT,Medium
Drunk students creating nuisance in New Wing.,Disciplinary,Urgent
Cannot connect to 'CampusWifi' in Girls Hostel.,IT,Medium
Door lock key is stuck inside the keyhole in Room 116.,Civil,High
Tables in the Block A mess hall are sticky and dirty.,Mess,Medium
Curtain rod fell down in Room 109.,Civil,Low
Hair found in the chapati at Girls Hostel mess.,Mess,High
Wifi speed is too slow to open basic websites in 117.,IT,Medium
Wifi range does not reach the corner rooms like 127.,IT,Medium
Cats seen roaming inside the Boys Hostel mess kitchen.,Mess,Urgent
Extension board in Classroom 5 caught fire briefly.,Electrical,Urgent
Fan in Room 188 making loud noise and wobbling.,Electrical,High
Wifi range does not reach the corner rooms like 216.,IT,Medium
Request to extend curfew timings for Girls Hostel.,Other,Low
Main gate of Old Block was left open all night.,Disciplinary,Urgent
Wifi range does not reach the corner rooms like 325.,IT,Medium
Flush not working in First Floor Toilet toilet.,Sanitation,Urgent
Ceiling fan in Room 258 is not working.,Electrical,High
Bread served in Block B mess was expired and had fungus.,Mess,Urgent
Water coming from tap in 239 is muddy.,Sanitation,Urgent
Wifi speed is too slow to open basic websites in 168.,IT,Medium
Safety concern: Door latch in Room 130 not working properly.,Civil,Urgent
Chapatis in Girls Hostel mess are too hard to eat.,Mess,Medium
Not enough nutritious options for vegetarian students in Block A mess.,Mess,Low
Someone busted the fire extinguisher in Stairs.,Disciplinary,High
"Switch board hanging loose in Room 422, exposed wires.",Electrical,Urgent
Cannot connect to 'CampusWifi' in Block B.,IT,Medium
Roof leaking heavily in Main Gate during rain.,Civil,High
Door closer in Lab 1 is leaking oil.,Civil,Low
"Night latch broken in Room 262, feeling unsafe.",Civil,Urgent
"Switch board hanging loose in Room 183, exposed wires.",Electrical,Urgent
Fan in Room 361 making loud noise and wobbling.,Electrical,High
Wifi signal is extremely weak in Room 291.,IT,Medium
Suspicious person seen roaming in Old Block at night.,Disciplinary,Urgent
Found a worm in the cauliflower curry today in Boys Hostel mess.,Mess,Urgent
No electricity in Classroom 5 lab section.,Electrical,High
Cannot login to the student ERP portal from Block B.,IT,High
"Switch board hanging loose in Room 110, exposed wires.",Electrical,Urgent
Water cooler in Stairs is leaking.,Sanitation,Medium
There are too many stray dogs near New Wing chasing students.,Other,Medium
Need permission to organize a coding event in Computer Centre.,Other,Low
Cleaning staff has not visited 195 for 3 days.,Sanitation,Medium
Forgot password reset link not working.,IT,Medium
Student smoking in the non-smoking Parking area.,Disciplinary,High
MCB trips frequently in Room 484.,Electrical,High
Bed plank broke while sleeping in Room 194.,Civil,High
Study table in Room 111 has a large crack.,Civil,Medium
Rice served for lunch in Girls Hostel mess was undercooked and hard.,Mess,High
"Chair backrest broken in 346, need replacement.",Civil,Medium
"The lock on my door in Room 455 is completely broken, cannot lock it.",Civil,Urgent
Not enough seating space in the Old Block mess.,Mess,Low
Water cooler in Parking is leaking.,Sanitation,Medium
"Pipe burst in Common Washroom, water flooding the floor.",Sanitation,Urgent
"Tap is leaking continuously in Room 297, wasting water.",Sanitation,Medium
Wifi speed is too slow to open basic websites in 129.,IT,Medium
Not enough seating space in the Block B mess.,Mess,Low
Mess contractor in Boys Hostel is using cheap oil.,Mess,High
"Lock jammed in Room 425, I was stuck inside for 10 mins.",Civil,Urgent
Bed plank broke while sleeping in Room 111.,Civil,High
MCB trips frequently in Room 334.,Electrical,High
Ceiling fan in Room 481 is not working.,Electrical,High
Water seepage from the ceiling in Block B corridor.,Civil,High
Ceiling dampness and peeling paint in Room 178.,Civil,Medium
Request to extend curfew timings for Block A.,Other,Low
Main gate of New Wing was left open all night.,Disciplinary,Urgent
Sink is clogged and overflowing in Common Washroom.,Sanitation,High
Water cooler in Common Room is leaking.,Sanitation,Medium
Dal was completely watery and tasteless in Block A mess.,Mess,Medium
Unable to submit assignment on the internal server.,IT,High
Found a stone in the dal in Block B mess.,Mess,High
Vegetable curry in Girls Hostel mess is smelling rotten.,Mess,Urgent
Wifi range does not reach the corner rooms like 200.,IT,Medium
Why is the stationary shop near Office closed during college hours?,Other,Low
Regulator for fan in Room 302 is not working.,Electrical,Medium
Flush not working in Hostel Mesh toilet.,Sanitation,Urgent
Sparking observed from the socket in Room 273.,Electrical,Urgent
Wifi speed is too slow to open basic websites in 441.,IT,Medium
Benches in Main Gate are broken.,Civil,Medium
Cannot login to the student ERP portal from Old Block.,IT,High
Tube light improperly flickering in Room 413.,Electrical,Medium
Curtain rod fell down in Room 426.,Civil,Low
MCB trips frequently in Room 137.,Electrical,High
Theft: My laptop was stolen from Room 465.,Disciplinary,Urgent
Bus to New Wing stop was late by 20 minutes today.,Other,Low
LAN port in Room 237 is broken.,IT,Medium
Food finished before mess timing ended in Block B.,Mess,Medium
Ceiling fan in Room 128 is not working.,Electrical,High
Gambling activity seen in Room 410.,Disciplinary,High
Seniors harassing juniors in Block A corridor.,Disciplinary,Urgent
Physical fight broke out in the Old Block mess hall.,Disciplinary,Urgent
Frequent voltage fluctuation in 212 damaging laptop.,Electrical,High
Female students catcalled near Block A gate.,Disciplinary,Urgent
Ethernet cable socket damaged in Lab 1.,IT,Medium
Charging point in 159 is dead.,Electrical,medium
Geyser in First Floor Toilet not heating water.,Electrical,Medium
Milk served at breakfast in Block B was sour.,Mess,High
Rice served for lunch in New Wing mess was undercooked and hard.,Mess,High
"Access point in Back Gate seems dead, no signal.",IT,Medium
Stale smell coming from the food served tonight in Old Block mess.,Mess,Urgent
Parking space is always full behind Boys Hostel.,Other,Low
"Tap is leaking continuously in Room 240, wasting water.",Sanitation,Medium
Water seepage from the ceiling in Block A corridor.,Civil,High
"The lock on my door in Room 231 is completely broken, cannot lock it.",Civil,Urgent
Water cooler in Main Gate is leaking.,Sanitation,Medium
Water seepage from the ceiling in Boys Hostel corridor.,Civil,High
Corridor floor in Block A is uneven and tripping hazard.,Civil,Medium
Lost property: Blue bag left in Library.,Other,Low
Regulator for fan in Room 131 is not working.,Electrical,Medium
LAN port in Room 336 is broken.,IT,Medium
MCB trips frequently in Room 416.,Electrical,High
"Tap is leaking continuously in Room 267, wasting water.",Sanitation,Medium
"Switch board hanging loose in Room 484, exposed wires.",Electrical,Urgent
Regulator for fan in Room 183 is not working.,Electrical,Medium
"Chair backrest broken in 458, need replacement.",Civil,Medium
Loud music playing in Room 129 late at night disturbing others.,Disciplinary,High
Mirror fell off the wall in Ground Floor Washroom.,Civil,Medium
Basketball court net near New Wing is torn.,Other,Low
Wifi range does not reach the corner rooms like 470.,IT,Medium
Wifi range does not reach the corner rooms like 332.,IT,Medium
Menu is not being followed in Boys Hostel mess.,Mess,Low
Security guard was sleeping during night shift at Girls Hostel.,Disciplinary,Urgent
"Bulb fused in Common Washroom, pitch dark at night.",Electrical,Urgent
Frequent voltage fluctuation in 432 damaging laptop.,Electrical,High
Cupboard door hinge broken in Room 411.,Civil,Medium
Foul smell coming from the drains near Girls Hostel.,Sanitation,High
No water in the Block B mess wash basin.,Mess,High
Door closer in Library is leaking oil.,Civil,Low
Sparking observed from the socket in Room 485.,Electrical,Urgent
"The lock on my door in Room 221 is completely broken, cannot lock it.",Civil,Urgent
Dead pigeon in the Parking balcony causing smell.,Sanitation,High
Water coming from tap in 259 is muddy.,Sanitation,Urgent
Security guard was sleeping during night shift at Old Block.,Disciplinary,Urgent
Verbal abuse and bullying by a group in Back Gate.,Disciplinary,Urgent
"My room door (265) doesn't close fully, lock is misaligned.",Civil,High
"Switch board hanging loose in Room 184, exposed wires.",Electrical,Urgent
Cleaning staff has not visited 477 for 3 days.,Sanitation,Medium
Too many mosquitoes in Back Gate due to stagnant water.,Sanitation,High
Too many mosquitoes in Terrace due to stagnant water.,Sanitation,High
Need permission to organize a coding event in Lab 2.,Other,Low
Garbage piled up near Block B entrance.,Sanitation,Medium
Frequent voltage fluctuation in 332 damaging laptop.,Electrical,High
Hot water geyser not giving water in Common Washroom.,Sanitation,High
Bus to Boys Hostel stop was late by 20 minutes today.,Other,Low
No water in the New Wing mess wash basin.,Mess,High
Loud music playing in Room 451 late at night disturbing others.,Disciplinary,High
Projector in Library has display issues.,IT,Medium
Frequent voltage fluctuation in 426 damaging laptop.,Electrical,High
Cockroach infestation in Old Block washrooms.,Sanitation,High
"My room door (465) doesn't close fully, lock is misaligned.",Civil,High
Projector in Lab 2 has display issues.,IT,Medium
Lunch served very late today in Old Block.,Mess,Medium
Fungus growing on bathroom walls in Room 131.,Sanitation,High
Cleaning staff has not visited 476 for 3 days.,Sanitation,Medium
Inverter backup not working in Block A during outage.,Electrical,High
Unauthorized outsiders drinking alcohol near Block B.,Disciplinary,Urgent
Corridor floor in Boys Hostel is uneven and tripping hazard.,Civil,Medium
Breakfast timing in New Wing is too short.,Mess,Medium
Ragging incident reported near New Wing block.,Disciplinary,Urgent
Fungus growing on bathroom walls in Room 324.,Sanitation,High
Food finished before mess timing ended in Old Block.,Mess,Medium
Safety concern: Door latch in Room 218 not working properly.,Civil,Urgent
Student smoking in the non-smoking Corridor area.,Disciplinary,High
"Plaster falling from ceiling in 365, dangerous.",Civil,Urgent
Regulator for fan in Room 454 is not working.,Electrical,Medium
PC in Library not booting up.,IT,High
Cupboard door hinge broken in Room 138.,Civil,Medium
Vandalism: Someone smashed the mirror in Hostel Mesh.,Disciplinary,High
Wifi signal is extremely weak in Room 488.,IT,Medium
No electricity in Computer Centre lab section.,Electrical,High
Water coming from tap in 442 is muddy.,Sanitation,Urgent
Found a stone in the dal in New Wing mess.,Mess,High
Fungus growing on bathroom walls in Room 302.,Sanitation,High
The mattress in Room 321 is torn and old.,Civil,Low
Verbal abuse and bullying by a group in Lobby.,Disciplinary,Urgent
Tables in the Boys Hostel mess hall are sticky and dirty.,Mess,Medium
Wifi signal is extremely weak in Room 134.,IT,Medium
Someone busted the fire extinguisher in Parking.,Disciplinary,High
Gambling activity seen in Room 319.,Disciplinary,High
Parking space is always full behind Girls Hostel.,Other,Low
Cockroach infestation in Boys Hostel washrooms.,Sanitation,High
Taps run dry every evening in Boys Hostel.,Sanitation,High
The latch on the bathroom door in 389 is broken.,Civil,High
Printer in Lab 1 assumes offline status.,IT,Medium
Fungus growing on bathroom walls in Room 318.,Sanitation,High
Request to extend curfew timings for Block B.,Other,Low
Street light near New Wing entrance is broken.,Electrical,High
No internet connectivity in Lab 1 for lecture.,IT,High
Street light near Old Block entrance is broken.,Electrical,High
Notice board in Main Gate fell down.,Civil,Low
Sparking observed from the socket in Room 361.,Electrical,Urgent
Window glass shattered in Room 393 due to wind.,Civil,High
"Switch board hanging loose in Room 480, exposed wires.",Electrical,Urgent
Wallet stolen from my bag in Computer Centre.,Disciplinary,Urgent
"Tap is leaking continuously in Room 340, wasting water.",Sanitation,Medium
Someone busted the fire extinguisher in Back Gate.,Disciplinary,High
"Switch board hanging loose in Room 328, exposed wires.",Electrical,Urgent
Power cut in Old Block for over 4 hours.,Electrical,High
Water coming from tap in 195 is muddy.,Sanitation,Urgent
Corridor floor in Girls Hostel is uneven and tripping hazard.,Civil,Medium
Drunk students creating nuisance in Block A.,Disciplinary,Urgent
Unauthorized outsiders drinking alcohol near New Wing.,Disciplinary,Urgent
"Night latch broken in Room 247, feeling unsafe.",Civil,Urgent
"Tap is leaking continuously in Room 109, wasting water.",Sanitation,Medium
"Lock jammed in Room 284, I was stuck inside for 10 mins.",Civil,Urgent
Low water pressure in Restroom near Canteen showers.,Sanitation,Medium
Foul smell coming from the drains near Boys Hostel.,Sanitation,High
Parking space is always full behind Block A.,Other,Low
Corridor lights invalid/off in Block A at night.,Electrical,Urgent
Wifi speed is too slow to open basic websites in 403.,IT,Medium
Wifi signal is extremely weak in Room 269.,IT,Medium
Dinner was served cold again in New Wing.,Mess,Medium
Tube light improperly flickering in Room 393.,Electrical,Medium
Too many mosquitoes in Common Room due to stagnant water.,Sanitation,High
Dustbins overflowing in Terrace area.,Sanitation,Medium
LAN port in Room 128 is broken.,IT,Medium
Found a worm in the cauliflower curry today in Block A mess.,Mess,Urgent
Suspicious person seen roaming in Boys Hostel at night.,Disciplinary,Urgent
Threatening behavior by a student in Room 274.,Disciplinary,Urgent
No water supply in Old Block since this morning.,Sanitation,Urgent
Ceiling fan in Room 390 is not working.,Electrical,High
"Lock jammed in Room 369, I was stuck inside for 10 mins.",Civil,Urgent
Fungus growing on bathroom walls in Room 308.,Sanitation,High
Cleaning staff has not visited 185 for 3 days.,Sanitation,Medium
Food finished before mess timing ended in Girls Hostel.,Mess,Medium
Sparking observed from the socket in Room 129.,Electrical,Urgent
Security guard was sleeping during night shift at Block A.,Disciplinary,Urgent
Someone busted the fire extinguisher in Main Gate.,Disciplinary,High
Mess contractor in Old Block is using cheap oil.,Mess,High
Drunk students creating nuisance in Old Block.,Disciplinary,Urgent
Sparking observed from the socket in Room 465.,Electrical,Urgent
Tube light improperly flickering in Room 178.,Electrical,Medium
Fungus growing on bathroom walls in Room 296.,Sanitation,High
Wifi range does not reach the corner rooms like 499.,IT,Medium
Fly infestation near the food serving counter in Girls Hostel.,Mess,High
Frequent voltage fluctuation in 479 damaging laptop.,Electrical,High
Wifi speed is too slow to open basic websites in 212.,IT,Medium
Fly infestation near the food serving counter in Old Block.,Mess,High
Bed plank broke while sleeping in Room 381.,Civil,High
Dinner was served cold again in Block A.,Mess,Medium
Vegetable curry in Block A mess is smelling rotten.,Mess,Urgent
Gambling activity seen in Room 490.,Disciplinary,High
Ceiling fan in Room 274 is not working.,Electrical,High
Fungus growing on bathroom walls in Room 442.,Sanitation,High
Fan in Room 186 making loud noise and wobbling.,Electrical,High
Tiles broken in the bathroom of Room 152.,Civil,Medium
Floor tiles cracked and sharp in Lobby.,Civil,High
Fan in Room 409 making loud noise and wobbling.,Electrical,High
Tiles broken in the bathroom of Room 356.,Civil,Medium
Biometric device at Boys Hostel gate not accepting fingerprint.,IT,High
Floor tiles cracked and sharp in Main Gate.,Civil,High
Ragging incident reported near Block A block.,Disciplinary,Urgent
Wifi speed is too slow to open basic websites in 205.,IT,Medium
